凋	981
内	973
郡	973
携	971
梅	970
鸿	967
岭	966
精	964
根	961
敢	960
观	957
浦	957
管	953
永	953
李	951
原	947
狂	947
字	946
肠	944
床	944
急	941
收	941
诸	940
冥	934
室	933
旗	931
礼	931
指	928
尊	928
仍	927
壁	924
晨	923
每	923
幸	920
银	919
理	918
渔	916
雄	914
冠	909
夏	908
茫	908
蝉	906
吏	905
岳	901
称	900
恐	900
那	900
侵	899
既	897
全	897
藏	897
张	896
机	895
众	894
阶	893
举	891
积	891
繁	890
尺	885
旌	885
封	885
赏	882
最	881
雾	877
府	876
性	873
周	864
兹	862
遇	862
七	860
况	857
形	856
采	856
比	854
兼	854
闭	852
殊	850
英	850
竟	849
寥	848
湿	842
攀	842
把	842
惭	839
哀	838
危	833
泛	833
渡	832
烛	831
种	831
销	830
计	830
图	826
乃	825
扬	825
房	825
赋	825
昨	823
髮	823
喧	822
被	820
笔	819
盛	818
承	817
角	817
荷	813
嗟	810
怨	810
翁	809
端	806
涯	806
负	803
点	803
斋	803
乌	801
宴	799
苑	799
消	798
抱	797
没	795
凄	793
调	790
绣	789
孙	789
桑	787
丛	786
鸾	786
词	785
凭	785
业	785
句	785
穀	784
催	784
纵	783
轮	781
遂	780
遍	779
泽	779
拜	779
宵	778
粉	778
惆	778
凌	777
席	775
荆	775
势	772
陈	772
代	771
题	771
豔	770
参	767
澹	767
走	767
舍	766
列	765
各	765
屋	765
童	764
蜀	764
浅	763
再	761
枯	761
牛	759
漏	757
瑶	755
象	755
修	753
营	751
旅	749
甘	748
禁	746
馆	744
津	744
肯	744
访	743
偶	743
潮	740
奇	738
绮	737
丘	737
雷	737
笼	735
赤	735
并	733
驱	732
短	732
烧	731
筵	727
弄	726
毛	726
第	725
盖	723
勤	723
佩	722
禽	722
放	722
志	721
咏	720
霄	720
沾	719
衔	714
强	713
挂	713
陌	712
扫	710
披	709
投	708
妆	706
炉	706
盈	705
戎	702
塘	700
琼	698
昼	697
底	696
滴	692
程	692
菊	690
漫	690
涧	689
妾	688
沈	688
而	687
壮	686
背	682
钱	680
巢	679
迢	679
史	676
降	676
辉	675
途	675
棹	675
灭	674
宾	673
潭	672
襟	670
借	670
俱	668
宅	667
淨	656
帐	654
利	653
达	652
穿	651
袖	651
羡	648
渚	646
潜	645
响	640
牆	640
壶	639
拟	639
差	638
源	638
避	638
荡	635
杀	634
厌	633
诚	632
存	631
要	631
茅	630
赠	630
耕	629
殷	629
巴	629
市	626
养	624
寞	624
拥	623
圆	622
境	621
屏	619
牵	619
恋	617
旋	614
献	614
呼	612
郊	611
院	611
县	608
弟	608
洒	606
唱	606
郭	604
覆	604
幕	603
杳	602
广	601
漠	601
鸳	601
就	600
策	600
愧	599
刀	599
奏	598
添	598
澄	597
服	595
驾	594
腰	594
萝	593
法	592
奉	590
升	590
卿	589
属	588
弹	588
哭	587
簷	585
诏	585
招	584
实	584
泣	584
密	582
桐	581
弃	581
遣	580
奈	580
陶	579
蒙	578
浩	578
侍	576
嫌	576
或	574
哉	571
受	569
尝	569
阑	568
斯	567
也	566
仰	563
曙	562
巾	562
夷	561
疾	561
儒	560
威	559
嘉	559
聊	558
饥	558
翼	557
义	557
冬	555
耳	555
叠	554
限	554
峡	553
省	553
杜	553
追	552
试	551
庙	551
篇	550
商	550
淮	549
丈	547
怪	547
歇	547
停	542
锁	541
妇	541
寿	538
友	538
驻	536
倒	536
庐	536
迥	535
洗	535
驰	534
鳞	533
陇	533
羞	532
际	532
娇	531
鞭	531
血	531
鹿	529
蝶	529
扇	528
丽	528
窥	525
秀	525
侣	525
埃	524
畔	524
浓	523
醒	522
趋	522
系	522
层	521
除	521
逸	520
岛	520
适	518
苏	518
瑞	517
裳	517
伊	517
母	517
候	516
辛	516
坛	515
柏	514
涛	514
簪	514
延	513
雀	513
_	2120129
